климат	37088
воздух	36382
почва	25636
год	21190
земля	15825
глаз	15482
субтропики	15419
камера	14947
состояние	14196
место	12954
песок	12070
атмосфера	8916
ветер	8202
пар	8019
условие	7896
период	7887
погода	7762
луг	7399
среда	7320
район	6494
лес	6380
тропики	5917
губа	5407
хрип	5267
слой	4570
лето	4470
материал	4238
местообитание	4137
рука	4027
грунт	4004
трава	3998
зона	3907
тряпка	3701
зерно	3621
соль	3617
поверхность	3244
сезон	3219
волос	3088
блеск	3025
ткань	2993
лоб	2955
участок	2800
глина	2683
уборка	2577
масса	2479
мох	2449
весна	2400
снег	2363
мешанка	2310
след	2151
газ	2045
образец	2009
прохлада	1976
запах	1963
дыхание	1936
ладонь	1922
лист	1895
пятно	1809
тело	1775
туман	1758
осень	1748
полотенце	1715
вес	1711
область	1622
тип	1583
зима	1560
берег	1541
склон	1374
нос	1362
кислород	1346
камень	1326
корм	1315
кожа	1296
скала	1286
тепло	1253
рот	1211
водород	1205
осадок	1193
часть	1182
опилка	1173
семя	1157
уголь	1154
способ	1128
свежесть	1112
препарат	1103
конвекция	1094
древесина	1068
палец	1048
биотоп	1045
эфир	1034
горизонт	996
бумага	995
эпоха	994
смесь	990
духота	987
пыль	981
взгляд	975
ветерок	967
день	966
лицо	965
холод	952
время	931
субстрат	914
жара	901
фаза	900
ночь	883
стена	881
губка	869
окись	865
салфетка	849
листва	828
хранение	824
продукт	797
вата	795
зуб	792
асфальт	791
порода	765
месяц	763
зелень	750
торф	736
режим	730
ноздря	716
уста	709
горение	698
мгла	694
термометр	684
помещение	671
тряпочка	658
взор	657
тень	657
язык	647
небо	641
марля	634
пленка	630
простыня	619
щека	601
вид	601
поле	599
долина	597
холодок	595
пелена	594
испарение	557
хлеб	547
суглинок	546
дно	527
саванна	526
сумрак	525
дымка	520
тьма	520
темнота	516
стация	509
опилки	505
жар	505
топливо	500
проба	500
платок	494
сено	489
дезинфекция	481
ущелие	479
солома	475
обработка	475
осаждение	475
дым	467
ресница	458
адиабата	455
полоса	447
теплота	445
одежда	440
гангрена	437
подстилка	437
низина	435
муссон	424
облако	422
вариант	420
цветок	419
дерево	407
местность	400
тишина	392
дезинсекция	391
тампон	390
тундра	371
глубина	370
поцелуй	368
белье	366
хлор	365
свет	358
ил	356
