feuchte_ADJ Umschläge_NOUN	1805	1	1
feuchte_ADJ Umschläge_NOUN	1808	1	1
feuchte_ADJ Umschläge_NOUN	1812	2	2
feuchte_ADJ Umschläge_NOUN	1813	1	1
feuchte_ADJ Umschläge_NOUN	1816	1	1
feuchte_ADJ Umschläge_NOUN	1817	1	1
feuchte_ADJ Umschläge_NOUN	1818	1	1
feuchte_ADJ Umschläge_NOUN	1820	2	2
feuchte_ADJ Umschläge_NOUN	1829	1	1
feuchte_ADJ Umschläge_NOUN	1831	7	6
feuchte_ADJ Umschläge_NOUN	1833	3	3
feuchte_ADJ Umschläge_NOUN	1834	2	2
feuchte_ADJ Umschläge_NOUN	1835	4	2
feuchte_ADJ Umschläge_NOUN	1836	1	1
feuchte_ADJ Umschläge_NOUN	1837	3	1
feuchte_ADJ Umschläge_NOUN	1838	4	2
feuchte_ADJ Umschläge_NOUN	1840	1	1
feuchte_ADJ Umschläge_NOUN	1841	2	2
feuchte_ADJ Umschläge_NOUN	1842	8	4
feuchte_ADJ Umschläge_NOUN	1843	2	2
feuchte_ADJ Umschläge_NOUN	1844	1	1
feuchte_ADJ Umschläge_NOUN	1845	3	3
feuchte_ADJ Umschläge_NOUN	1847	3	3
feuchte_ADJ Umschläge_NOUN	1849	4	3
feuchte_ADJ Umschläge_NOUN	1851	1	1
feuchte_ADJ Umschläge_NOUN	1852	4	4
feuchte_ADJ Umschläge_NOUN	1853	4	3
feuchte_ADJ Umschläge_NOUN	1854	3	3
feuchte_ADJ Umschläge_NOUN	1855	1	1
feuchte_ADJ Umschläge_NOUN	1856	1	1
feuchte_ADJ Umschläge_NOUN	1858	1	1
feuchte_ADJ Umschläge_NOUN	1859	4	1
feuchte_ADJ Umschläge_NOUN	1860	6	3
feuchte_ADJ Umschläge_NOUN	1861	12	9
feuchte_ADJ Umschläge_NOUN	1862	7	5
feuchte_ADJ Umschläge_NOUN	1863	6	6
feuchte_ADJ Umschläge_NOUN	1864	12	7
feuchte_ADJ Umschläge_NOUN	1865	2	2
feuchte_ADJ Umschläge_NOUN	1866	8	5
feuchte_ADJ Umschläge_NOUN	1867	4	2
feuchte_ADJ Umschläge_NOUN	1868	8	7
feuchte_ADJ Umschläge_NOUN	1869	8	8
feuchte_ADJ Umschläge_NOUN	1870	7	4
feuchte_ADJ Umschläge_NOUN	1871	4	4
feuchte_ADJ Umschläge_NOUN	1872	1	1
feuchte_ADJ Umschläge_NOUN	1873	3	3
feuchte_ADJ Umschläge_NOUN	1874	2	2
feuchte_ADJ Umschläge_NOUN	1875	1	1
feuchte_ADJ Umschläge_NOUN	1876	1	1
feuchte_ADJ Umschläge_NOUN	1878	1	1
feuchte_ADJ Umschläge_NOUN	1879	1	1
feuchte_ADJ Umschläge_NOUN	1880	5	2
feuchte_ADJ Umschläge_NOUN	1881	1	1
feuchte_ADJ Umschläge_NOUN	1882	2	2
feuchte_ADJ Umschläge_NOUN	1884	1	1
feuchte_ADJ Umschläge_NOUN	1885	4	4
feuchte_ADJ Umschläge_NOUN	1887	5	3
feuchte_ADJ Umschläge_NOUN	1888	3	3
feuchte_ADJ Umschläge_NOUN	1889	6	4
feuchte_ADJ Umschläge_NOUN	1890	5	5
feuchte_ADJ Umschläge_NOUN	1891	3	1
feuchte_ADJ Umschläge_NOUN	1892	5	4
feuchte_ADJ Umschläge_NOUN	1893	2	2
feuchte_ADJ Umschläge_NOUN	1894	4	4
feuchte_ADJ Umschläge_NOUN	1895	2	2
feuchte_ADJ Umschläge_NOUN	1896	1	1
feuchte_ADJ Umschläge_NOUN	1897	12	6
feuchte_ADJ Umschläge_NOUN	1898	2	2
feuchte_ADJ Umschläge_NOUN	1899	13	11
feuchte_ADJ Umschläge_NOUN	1900	26	20
feuchte_ADJ Umschläge_NOUN	1901	15	11
feuchte_ADJ Umschläge_NOUN	1902	19	19
feuchte_ADJ Umschläge_NOUN	1903	11	9
feuchte_ADJ Umschläge_NOUN	1904	19	11
feuchte_ADJ Umschläge_NOUN	1905	17	14
feuchte_ADJ Umschläge_NOUN	1906	13	13
feuchte_ADJ Umschläge_NOUN	1907	20	15
feuchte_ADJ Umschläge_NOUN	1908	20	20
feuchte_ADJ Umschläge_NOUN	1909	19	16
feuchte_ADJ Umschläge_NOUN	1910	18	14
feuchte_ADJ Umschläge_NOUN	1911	21	11
feuchte_ADJ Umschläge_NOUN	1912	12	11
feuchte_ADJ Umschläge_NOUN	1913	17	13
feuchte_ADJ Umschläge_NOUN	1914	24	22
feuchte_ADJ Umschläge_NOUN	1915	4	4
feuchte_ADJ Umschläge_NOUN	1916	5	5
feuchte_ADJ Umschläge_NOUN	1917	6	5
feuchte_ADJ Umschläge_NOUN	1918	18	8
feuchte_ADJ Umschläge_NOUN	1919	11	9
feuchte_ADJ Umschläge_NOUN	1920	15	12
feuchte_ADJ Umschläge_NOUN	1921	8	7
feuchte_ADJ Umschläge_NOUN	1922	10	9
feuchte_ADJ Umschläge_NOUN	1923	3	3
feuchte_ADJ Umschläge_NOUN	1924	6	5
feuchte_ADJ Umschläge_NOUN	1925	12	8
